cinema_id,name,address,url,region_code
a01,基隆秀泰影城,,https://www.atmovies.com.tw/showtime/t02g04/a01/,a01
a02,台北信義威秀,,https://www.atmovies.com.tw/showtime/t02a01/a02/,a02
a02,MUVIE CINEMAS台北松仁威秀,,https://www.atmovies.com.tw/showtime/t02a11/a02/,a02
a02,新民生戲院,,https://www.atmovies.com.tw/showtime/t02a07/a02/,a02
a02,台北南港LaLaport威秀影城,,https://www.atmovies.com.tw/showtime/t02a12/a02/,a02
a02,喜樂時代影城,,https://www.atmovies.com.tw/showtime/t02a09/a02/,a02
a02,微風影城,,https://www.atmovies.com.tw/showtime/t02a03/a02/,a02
a02,誠品電影院,,https://www.atmovies.com.tw/showtime/t02a08/a02/,a02
a02,總督影城,,https://www.atmovies.com.tw/showtime/t02a05/a02/,a02
a02,哈拉影城,,https://www.atmovies.com.tw/showtime/t02a06/a02/,a02
a02,國賓戲院,,https://www.atmovies.com.tw/showtime/t02b01/a02/,a02
a02,樂聲影城,,https://www.atmovies.com.tw/showtime/t02b03/a02/,a02
a02,台北新光影城,,https://www.atmovies.com.tw/showtime/t02b05/a02/,a02
a02,台北京站威秀,,https://www.atmovies.com.tw/showtime/t02b14/a02/,a02
a02,in89豪華數位影城,,https://www.atmovies.com.tw/showtime/t02b12/a02/,a02
a02,真善美戲院,,https://www.atmovies.com.tw/showtime/t02b07/a02/,a02
a02,喜樂時代影城西門今日店,,https://www.atmovies.com.tw/showtime/t02b06/a02/,a02
a02,台北西門威秀影城,,https://www.atmovies.com.tw/showtime/t02b08/a02/,a02
a02,光點華山電影館,,https://www.atmovies.com.tw/showtime/t02b16/a02/,a02
a02,百老匯影城公館店,,https://www.atmovies.com.tw/showtime/t02c01/a02/,a02
a02,美麗華大直,,https://www.atmovies.com.tw/showtime/t02d05/a02/,a02
a02,台北天母新光影城,,https://www.atmovies.com.tw/showtime/t02d04/a02/,a02
a02,欣欣秀泰影城,,https://www.atmovies.com.tw/showtime/t02d03/a02/,a02
a02,國賓長春影城,,https://www.atmovies.com.tw/showtime/t02d02/a02/,a02
a02,美麗新大直皇家影城,,https://www.atmovies.com.tw/showtime/t02d06/a02/,a02
a02,光點台北電影院,,https://www.atmovies.com.tw/showtime/t02d20/a02/,a02
a02,板橋大遠百威秀影城,,https://www.atmovies.com.tw/showtime/t02e07/a02/,a02
a02,林口三井OUTLET威秀影城,,https://www.atmovies.com.tw/showtime/t02e12/a02/,a02
a02,新莊鴻金寶麻吉影城,,https://www.atmovies.com.tw/showtime/t02e03/a02/,a02
a02,板橋秀泰影城,,https://www.atmovies.com.tw/showtime/t02e09/a02/,a02
a02,三重天台戲院,,https://www.atmovies.com.tw/showtime/t02e04/a02/,a02
a02,國賓林口昕境廣場,,https://www.atmovies.com.tw/showtime/t02e10/a02/,a02
a02,國賓新莊晶冠廣場影城,,https://www.atmovies.com.tw/showtime/t02e11/a02/,a02
