id,name,type,address,original_address,city,district,special,lng,lat
cinema_39,淡水禮萊國賓影城,首輪,淡水區中正路一段2號,淡水區中正路一段2號（淡水禮萊廣場）,新北市,淡水區,,121.4297257,25.1766032
cinema_40,板橋大遠百威秀影城,首輪,板橋區新站路28號,板橋區新站路28號（板橋大遠百）10樓,新北市,板橋區,IMAX,121.4669037,25.0136061
cinema_41,板橋秀泰影城,首輪,板橋區縣民大道二段3號,板橋區縣民大道二段3號（麗寶百貨廣場）2至4樓,新北市,板橋區,Dolby Atmos,121.4619601,25.0123547
cinema_42,府中15新北市紀錄片放映院,首輪紀錄片,板橋區府中路15號,板橋區府中路15號B1,新北市,板橋區,,121.4596142,25.0093886
cinema_43,樹林秀泰影城,首輪,樹林區樹新路40-6號,樹林區樹新路40-6號（秀泰生活樹林店）8樓,新北市,樹林區,巨幕廳,121.4284421,24.9954547
cinema_44,土城秀泰影城,首輪,土城區學府路二段210號,土城區學府路二段210號（日月光廣場 ）1樓,新北市,土城區,,121.445079,24.9788137
cinema_45,新店裕隆城威秀影城,首輪,新店區中興路三段70號,新店區中興路三段70號（裕隆城）6~7樓,新北市,新店區,IMAX,121.546478,24.978061
cinema_46,桃園統領威秀影城,首輪,桃園區中正路61號,桃園區中正路61號（統領廣場）9樓,桃園市,桃園區,,121.3124309,24.9910545
cinema_47,桃園桃知道威秀影城,首輪、首輪藝術,桃園區南平路301號,桃園區南平路301號（桃知道GELEVEN PLAZA）4樓,桃園市,桃園區,,121.3001204,25.0186369
cinema_48,桃園站前in89統領影城,首輪,桃園區中正路56號,桃園區中正路56號,桃園市,桃園區,COACH 沙發座椅,121.3128825,24.9912144
cinema_49,八德置地國賓影城,首輪,八德區介壽路一段728號,八德區介壽路一段728號（置地生活廣場）3樓,桃園市,八德區,D-BOX座椅、Dolby Atmos,121.2987533,24.9650432
cinema_50,美麗新台茂影城,首輪,蘆竹區南崁路一段112號,蘆竹區南崁路一段112號（台茂購物中心）7樓,桃園市,蘆竹區,IMAX、Royal Cinemas皇家影城,121.2885645,25.0536603
cinema_51,桃園青埔新光影城,首輪,中壢區春德路107號,中壢區春德路107號（置地廣場·桃園）3至5樓,桃園市,中壢區,Dolby Cinema、LUXE + Dolby ATMOS、ACG動漫劇場、Sealy 席伊麗廳、OSIM天王廳,121.213604,25.0166342
cinema_52,喜樂時代影城桃園A19店,首輪,中壢區高鐵南路二段352號,中壢區高鐵南路二段352號（環球購物中心）4樓,桃園市,中壢區,設有16間影廳,121.2020945,25.002132
cinema_53,SBC星橋國際影城,首輪,中壢區中園路二段501號,中壢區中園路二段501號（大江國際購物中心）5樓,桃園市,中壢區,設有20間影廳,121.2284747,25.0015283
cinema_54,威尼斯影城,首輪,中壢區九和一街48號,中壢區九和一街48號3樓,桃園市,中壢區,Dolby Atmos、水影威尼斯,121.2242637,24.9615314
cinema_55,中壢光影電影館,影展,中壢區龍清街116巷,中壢區龍清街116巷31號,桃園市,中壢區,沙發座椅,121.2377328,24.9356249
cinema_56,桃園光影文化館,影展,桃園區埔新路12號,桃園區埔新路12號,桃園市,桃園區,沙發座椅,121.3074644,24.9991882
cinema_57,民和戲院（2020/4/6起暫停營業）,二輪,八德區廣福路80號,八德區廣福路80號4樓,桃園市,八德區,,121.2975686,24.9590558
cinema_58,百老匯數位影城,首輪,竹北市自強南路36號,竹北市自強南路36號（享平方ShownSquare）3至5樓,新竹縣,,RGB純雷射旗艦廳 Dolby Atmos VIP影廳,121.0271594,24.8188908
cinema_59,新竹大遠百威秀影城,首輪,東區西大路323號,東區西大路323號（新竹大遠百）8樓,新竹市,東區,4DX、GOLD CLASS,120.9649054,24.8019453
cinema_60,新竹巨城威秀影城,首輪,東區民權路176號,東區民權路176號（Big City遠東巨城購物中心）4樓之3,新竹市,東區,IMAX,120.9744905,24.8098549
cinema_61,尚順威秀影城,首輪,頭份市中央路105號,頭份市中央路105號（尚順購物中心）7樓,苗栗縣,,,120.903999,24.6890453
cinema_62,台中中港新光影城（因受氣爆事故影響於2025/2/13起暫停營業）,首輪,西屯區臺灣大道三段301號,西屯區臺灣大道三段301號（新光三越台中中港店）13至14樓,臺中市,西屯區,MX4D+Dolby Atmos、Dolby Atmos、LUXE A RealD Experience,120.6434748,24.1647673
cinema_63,台中大遠百威秀影城,首輪,西屯區臺灣大道三段251號,西屯區臺灣大道三段251號（台中大遠百）13至14樓,臺中市,西屯區,IMAX,120.6445269,24.164305
cinema_64,MUVIE CINEMAS 台中TIGER CITY,首輪,西屯區河南路三段120-1號,西屯區河南路三段120-1號（老虎城購物中心）4至8樓,臺中市,西屯區,TITAN巨幕廳、GOLD CLASS,120.6377975,24.1645018
cinema_65,台中文心秀泰影城,首輪,南屯區文心南路289號,南屯區文心南路289號（秀泰生活台中文心店）7至8樓,臺中市,南屯區,ScreenX廳丹普廳LG LED CINEMA + Dolby Atmos,120.6455746,24.1297105
cinema_66,台中站前秀泰影城,首輪,東區南京路76、66號,東區南京路76、66號（秀泰生活台中站前店）S1館4樓、S2館4樓,臺中市,東區,ScreenX廳獨享廳LOVE廳迪士尼廳,120.6897725,24.1405897
cinema_67,台中大魯閣新時代威秀影城,首輪,東區復興路四段186號,東區復興路四段186號（大魯閣新時代購物中心）4至5樓,臺中市,東區,Dolby Atmos、口述影像（AD）,120.6877477,24.1357726
cinema_68,王牌映畫影城,首輪,西區臺灣大道二段459號,西區臺灣大道二段459號（廣三崇光百貨）18樓,臺中市,西區,Cine Art 藝術主題影廳、Cine Anime 動畫主題影廳,120.6617994,24.15531
cinema_69,台中忠孝國賓影城（2021/10/25起暫停營業）,首輪,南區忠孝路163號,南區忠孝路163號,臺中市,南區,,120.6830678,24.13013
cinema_70,日日新影城,首輪,中區中華路1段58號,中區中華路1段58號,臺中市,中區,至尊廳（BARCO雷射4K＋JBL）、Dolby Atmos,120.6765845,24.1457421
cinema_71,親親影城,首輪,北區北屯路14號,北區北屯路14號,臺中市,北區,,120.6920359,24.1603348
cinema_72,台中豐原in89豪華影城,首輪,豐原區成功路500號,豐原區成功路500號（家樂福豐原店）5樓,臺中市,豐原區,COACH沙發座椅、BOOMBOOM親子影廳,120.7064332,24.2522311
cinema_73,時代數位3D影城,首輪,清水區光復街65號,清水區光復街65號3樓（1館）、中山路339號3至5樓（2館）,臺中市,清水區,3D,120.5751552,24.2711111
cinema_74,台中麗寶秀泰影城,首輪,后里區月眉東路二段181號,后里區月眉東路二段181號（麗寶OUTLET MALLD區）3樓,臺中市,后里區月眉東路二段181號（麗寶OUTLET MALLD區,,120.7022884,24.3262443
cinema_75,全球影城,二輪,西區中華路一段1-1號,西區中華路一段1-1號,臺中市,西區,,120.6725727,24.1413496
cinema_76,員林影城,首輪,員林市南昌路39號,員林市南昌路39號3樓,彰化縣,,Dolby Atmos,120.5730925,23.95421
cinema_77,南投戲院,首輪,南投市大同街87號,南投市大同街87號,南投縣,,,120.6878996,23.907958
cinema_78,埔里山明數位3D電影院,首輪,埔里鎮中山路二段289號,埔里鎮中山路二段289號5樓,南投縣,埔里鎮,,120.968008,23.965491
cinema_79,環球中華影城,首輪,斗六市雲林路二段19號,斗六市雲林路二段19號,雲林縣,,沙發座椅,120.5357235,23.7059704
cinema_80,雲林北港秀泰影城,首輪,北港鎮華南路101號,北港鎮華南路101號（家樂福北港店）2樓,雲林縣,北港鎮,,120.3002099,23.5718802
cinema_81,嘉年華影城,首輪,西區仁愛路443號,西區仁愛路443號1樓、4樓,嘉義市,西區,VIP尊榮廳,120.4418438,23.4780402
cinema_82,嘉義秀泰影城,首輪,西區文化路299號,西區文化路299號（秀泰生活嘉義店）4樓,嘉義市,西區,4K雷射超級巨幕廳,120.4476782,23.4852891
cinema_83,嘉義影食滙in89豪華影城,首輪、科教,東區民族路328號,東區民族路328號,嘉義市,東區,IMAX、MX4D、LUXE + Dolby Atmos、COACH+、BOOMBOOM親子影廳,120.4527315,23.4763755
cinema_84,台南大遠百威秀影城,首輪,中西區公園路60號,中西區公園路60號（台南大遠百公園店）5至13樓,臺南市,中西區,4DX,120.205918,22.9953279
cinema_85,台南南紡威秀影城,首輪,東區中華東路一段366號,東區中華東路一段366號（南紡購物中心）A1館5樓、A2館B1,臺南市,東區,IMAX、GOLD CLASS,120.2329698,22.9908334
cinema_86,台南Focus威秀影城,首輪,中西區中山路166號,中西區中山路166號（Focus時尚流行館）11至13樓,臺南市,中西區,,120.2102016,22.9955357
cinema_87,台南西門新光影城,首輪,中西區西門路一段658號,中西區西門路一段658號（新光三越台南新天地）7至9樓,臺南市,中西區,LUXE A RealD Experience,120.1977035,22.9868434
cinema_88,台南仁德秀泰影城,首輪,仁德區大同路三段759號,仁德區大同路三段759號（家樂福新仁店）2樓,臺南市,仁德區,,120.2202612,22.9473583
cinema_89,台南國賓影城,首輪,東區中華東路一段66號,東區中華東路一段66號,臺南市,東區,D-BOX座椅、金鑽貴賓廳,120.2342872,22.9962865
cinema_90,南台影城,首輪,中西區友愛街317號,中西區友愛街317號,臺南市,中西區,,120.195206,22.992277
cinema_91,全美戲院（2025/3/2起暫停營業）,二輪,中西區永福路二段187號,中西區永福路二段187號,臺南市,中西區,,120.2015038,22.9951669
cinema_92,今日戲院（2024/2/23起暫停營業）,二輪,中西區中正路249號,中西區中正路249號,臺南市,中西區,,120.1969269,22.9926448
cinema_93,麻豆戲院,首輪,麻豆區興中路106號,麻豆區興中路106號,臺南市,麻豆區,,120.2512874,23.1836018
cinema_94,高雄大遠百威秀影城,首輪,苓雅區三多四路21號,苓雅區三多四路21號（高雄大遠百）13至16樓,高雄市,苓雅區,4DX、IMAX、GOLD CLASS,120.3043143,22.612772
cinema_95,高雄SKM Park國賓影城,首輪,前鎮區中山四路100號,前鎮區中山四路100號（SKM Park Outlets 高雄草衙）大道東3樓,高雄市,前鎮區,D-BOX座椅、Dolby Atmos,120.3292495,22.5837017
cinema_96,高雄義大國賓影城,首輪,大樹區學城路一段12號,大樹區學城路一段12號（義大世界購物廣場）C區3樓,高雄市,大樹區學城路一段12號（義大世界購物廣場）C區,D-BOX座椅、巨幕廳、金鑽貴賓廳,120.404131,22.7298705
cinema_97,高雄大立in89豪華影城,首輪,前金區五福三路57號,前金區五福三路57號（大立百貨）A館9至10樓,高雄市,前金區,LOUNGE情人座、COACH 椅、BOOMBOOM草皮親子影廳、 COACH plus廳,120.2983022,22.6216273
cinema_98,高雄鹽埕in89駁二電影院,首輪、首輪藝術,鹽埕區大勇路1號,鹽埕區大勇路1號（駁二藝術特區）C1、C2倉庫,高雄市,鹽埕區大勇路1號（駁二藝術特區,地墊親子DIY影廳,120.2816865,22.6199049
cinema_99,台鋁影城,首輪,前鎮區忠勤路8號,前鎮區忠勤路8號（MLD台鋁生活商場）,高雄市,前鎮區,Dolby Atmos,120.3036368,22.6038083
cinema_100,喜樂時代影城高雄總圖店,首輪、首輪藝術,前鎮區林森四路189號,前鎮區林森四路189號（高雄市立圖書館總館共構會展文創會館）2~4樓,高雄市,前鎮區,,120.3023581,22.6093366
cinema_101,環球影城,首輪,苓雅區大順三路108號,苓雅區大順三路108號3樓,高雄市,苓雅區,沙發座椅,120.3253294,22.6321291
cinema_102,高雄岡山秀泰影城,首輪,岡山區捷安路1巷,岡山區捷安路1巷2號,高雄市,岡山區,巨幕廳,120.2995946,22.7800913
cinema_103,高雄夢時代秀泰影城,首輪,前鎮區中華五路789號,前鎮區中華五路789號（統一夢時代購物中心）8樓,高雄市,前鎮區,ScreenX廳,120.3066338,22.5949204
cinema_104,內惟藝術中心,影展、首輪、首輪藝術,鼓山區馬卡道路329號,鼓山區馬卡道路329號,高雄市,鼓山區,沙發座椅,120.282306,22.6572033
cinema_105,高雄市電影館,影展,鹽埕區河西路10號,鹽埕區河西路10號,高雄市,鹽埕區,沙發座椅,120.2891009,22.6226912
cinema_106,屏東環球國賓影城,首輪,屏東市仁愛路90號,屏東市仁愛路90號（環球購物中心屏東店）6樓,屏東縣,,D-BOX座椅,120.4936323,22.6729913
cinema_107,屏東數位影城,首輪,屏東市民生路248號,屏東市民生路248號,屏東縣,,,120.4918867,22.6703411
cinema_108,新月豪華影城,首輪,宜蘭市民權路二段38巷,宜蘭市民權路二段38巷2號（蘭城新月廣場）,宜蘭縣,,Dolby Atmos,121.7500403,24.7543327
cinema_109,日新戲院,首輪,羅東鎮中山西街17之1號,羅東鎮中山西街17之1號（本館）、公園路100號3樓（統一廳）,宜蘭縣,羅東鎮,,121.769847,24.6746021
cinema_110,花蓮秀泰影城,首輪,花蓮市國聯五路69號,花蓮市國聯五路69號7樓,花蓮縣,,,121.6053563,23.9907537
cinema_111,花蓮鐵道電影院,首輪藝術,花蓮市中山路71號,花蓮市中山路71號,花蓮縣,,,121.610796,23.9743952
cinema_112,花蓮新天堂威秀影城,首輪,吉安鄉南濱路一段503號,吉安鄉南濱路一段503號（花蓮新天堂樂園）3、4樓,花蓮縣,吉安鄉,IMAX,121.5954462,23.9383926
cinema_113,台東秀泰影城,首輪,台東市新生路93號,台東市新生路93號（秀泰生活台東店）,臺東縣,,,121.147811,22.7523536
cinema_114,澎湖昇恆昌in89豪華數位影城,首輪,馬公市同和路158號,馬公市同和路158號（Pier 3 三號港）4樓,澎湖縣,,COACH VIP廳BoomBoom草地親子廳,119.572237,23.5671107
cinema_115,金門昇恆昌國賓影城,首輪,金湖鎮太湖路二段198號,金湖鎮太湖路二段198號（昇恆昌金湖廣場）6樓,金門縣,金湖鎮,,118.4183931,24.4392039
cinema_116,金獅影城,首輪,金湖鎮中山路8-8號,金湖鎮中山路8-8號（風獅爺商店街西棟）3樓,金門縣,金湖鎮,FAS 動座椅巨幕廳+Dolby Atmos,118.4279933,24.4376913
