atmovies_id,full_title,chinese_title,english_title,runtime,release_date,detail_url
fben38999762,粗獷派建築師 The Brutalist,粗獷派建築師,The Brutalist,215,2025-02-27,https://www.atmovies.com.tw/movie/fben38999762/
fetw49348542,交換禮物 Exchange gifts,交換禮物,Exchange gifts,113,2024-12-25,https://www.atmovies.com.tw/movie/fetw49348542/
fszh45452981,國有器官 State Orgnas,國有器官,State Orgnas,75,2024-10-01,https://www.atmovies.com.tw/movie/fszh45452981/
fcjp30400536,我們的恐龍日記 Crayon Shinchan the Movie: Our Dinosaur Diary,我們的恐龍日記,Crayon Shinchan the Movie: Our Dinosaur Diary,104,2024-08-16,https://www.atmovies.com.tw/movie/fcjp30400536/
fekr27802875,破墓 Exhuma,破墓,Exhuma,134,2024-03-08,https://www.atmovies.com.tw/movie/fekr27802875/
fojp10487722,搖滾吧！中二樂團 On-Gaku: Our Sound,搖滾吧！中二樂團,On-Gaku: Our Sound,71,2024-01-05,https://www.atmovies.com.tw/movie/fojp10487722/
facn71933073,留給未來的殘影 Afterimage for Tomorrow,留給未來的殘影,Afterimage for Tomorrow,20,2020-01-15,https://www.atmovies.com.tw/movie/facn71933073/
fjhk40312886,男人四十 July Rhapsody,男人四十,July Rhapsody,103,2002-11-23,https://www.atmovies.com.tw/movie/fjhk40312886/
fvhk40589633,幽靈人間 Visible Secret,幽靈人間,Visible Secret,,2001-09-29,https://www.atmovies.com.tw/movie/fvhk40589633/
fbca32986272,舞池漫波 Bodies of Water,舞池漫波,Bodies of Water,10,,https://www.atmovies.com.tw/movie/fbca32986272/
feil73669502,我的乳房逃跑中 The Elephant I Found Under My Skin,我的乳房逃跑中,The Elephant I Found Under My Skin,10,,https://www.atmovies.com.tw/movie/feil73669502/
fgen28499593,石像鬼歹逗陣 Gargoyle Doyle,石像鬼歹逗陣,Gargoyle Doyle,38,,https://www.atmovies.com.tw/movie/fgen28499593/
fhen29531790,心的告白 Heartbeat,心的告白,Heartbeat,9,,https://www.atmovies.com.tw/movie/fhen29531790/
fsjp28498459,茶道小精靈：千 Sen,茶道小精靈：千,Sen,15,,https://www.atmovies.com.tw/movie/fsjp28498459/
flen14403504,窒息倒數 Last Breath,窒息倒數,Last Breath,93,2025-02-28,https://www.atmovies.com.tw/movie/flen14403504/
fwen28142896,台北追緝令 Weekend in Taipei,台北追緝令,Weekend in Taipei,100,2024-09-25,https://www.atmovies.com.tw/movie/fwen28142896/
fcen14513804,美國隊長：無畏新世界 Captain America: Brave New World,美國隊長：無畏新世界,Captain America: Brave New World,118,2025-02-12,https://www.atmovies.com.tw/movie/fcen14513804/
fucn33708235,夜校女生 The Uniform,夜校女生,The Uniform,109,2025-02-27,https://www.atmovies.com.tw/movie/fucn33708235/
fein89006564,2018大洪水 2018：Everyone is a Hero,2018大洪水,2018：Everyone is a Hero,148,2025-02-21,https://www.atmovies.com.tw/movie/fein89006564/
fgen12208980,青春來接招 Greatest Days,青春來接招,Greatest Days,103,2025-02-21,https://www.atmovies.com.tw/movie/fgen12208980/
fpen28249919,感應 Presence,感應,Presence,84,2025-02-14,https://www.atmovies.com.tw/movie/fpen28249919/
fhko23630030,哈爾濱 Harbin,哈爾濱,Harbin,114,2025-01-29,https://www.atmovies.com.tw/movie/fhko23630030/
fpen85822536,柏靈頓：熊熊去秘魯 Paddington in Peru,柏靈頓：熊熊去秘魯,Paddington in Peru,106,2025-01-25,https://www.atmovies.com.tw/movie/fpen85822536/
fmen13186482,獅子王：木法沙 Mufasa: The Lion King,獅子王：木法沙,Mufasa: The Lion King,118,2024-12-19,https://www.atmovies.com.tw/movie/fmen13186482/
fphk31648020,破·地獄 Po · Dei Juk,破·地獄,Po · Dei Juk,126,2024-12-06,https://www.atmovies.com.tw/movie/fphk31648020/
fmen13622970,海洋奇緣2 Moana 2,海洋奇緣2,Moana 2,99,2024-11-28,https://www.atmovies.com.tw/movie/fmen13622970/
