[2025-05-06T09:54:10.614Z] 開始資料庫更新流程
[2025-05-06T09:54:10.629Z] 開始ATMovies 場次爬蟲...
[2025-05-06T09:59:38.827Z] ATMovies 場次爬蟲警告: /Users/jonaswhite/CascadeProjects/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-05-06 17:54:36,766 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b07/a02/20250507/
2025-05-06 17:54:37,761 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02b06/a02/20250507/
2025-05-06 17:54:37,761 - INFO - 等待 3 秒後重試...
2025-05-06 17:54:40,764 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02b06/a02/20250507/
2025-05-06 17:54:42,762 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a08/a02/20250507/
2025-05-06 17:54:42,764 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a09/a02/20250507/
2025-05-06 17:54:42,764 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a01/a02/20250507/
2025-05-06 17:54:47,762 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02b07/a02/20250507/
2025-05-06 17:54:47,763 - INFO - 等待 6 秒後重試...
2025-05-06 17:54:51,765 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02b06/a02/20250507/
2025-05-06 17:54:51,765 - INFO - 等待 6 秒後重試...
2025-05-06 17:54:53,765 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02a08/a02/20250507/
2025-05-06 17:54:53,769 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02a08/a02/20250507/
2025-05-06 17:54:53,769 - ERROR - 無法獲取場次資訊: 誠品電影院 - 明天
2025-05-06 17:54:53,770 - INFO - 由於 誠品電影院 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:54:53,770 - INFO - 完成電影院 誠品電影院 的資料收集
2025-05-06 17:54:53,770 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02a01/a02/20250507/
2025-05-06 17:54:53,771 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02a01/a02/20250507/
2025-05-06 17:54:53,771 - ERROR - 無法獲取場次資訊: 台北信義威秀 - 明天
2025-05-06 17:54:53,771 - INFO - 由於 台北信義威秀 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:54:53,771 - INFO - 完成電影院 台北信義威秀 的資料收集
2025-05-06 17:54:53,771 - ERROR - 請求錯誤:  - https://www.atmovies.com.tw/showtime/t02a09/a02/20250507/
2025-05-06 17:54:53,771 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02a09/a02/20250507/
2025-05-06 17:54:53,771 - ERROR - 無法獲取場次資訊: 喜樂時代影城 - 明天
2025-05-06 17:54:53,771 - INFO - 由於 喜樂時代影城 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 17:54:53,771 - INFO - 完成電影院 喜樂時代影城 的資料收集
