[2025-05-06T06:50:22.776Z] 開始資料庫更新流程
[2025-05-06T06:50:22.782Z] 開始ATMovies 場次爬蟲...
[2025-05-06T07:05:10.686Z] ATMovies 場次爬蟲警告: /Users/jonaswhite/CascadeProjects/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-05-06 14:51:41,383 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a11/a02/20250507/
2025-05-06 14:51:47,781 - INFO - 確認電影院名稱: MUVIE CINEMAS台北松仁威秀
2025-05-06 14:51:47,783 - INFO - 在 MUVIE CINEMAS台北松仁威秀 - 明天 找到 33 個場次
2025-05-06 14:51:48,788 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a11/a02/20250508/
2025-05-06 14:51:58,797 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02a11/a02/20250508/
2025-05-06 14:51:58,798 - INFO - 等待 3 秒後重試...
2025-05-06 14:52:01,802 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a11/a02/20250508/
2025-05-06 14:52:14,926 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02a11/a02/20250508/
2025-05-06 14:52:14,927 - INFO - 等待 6 秒後重試...
2025-05-06 14:52:20,932 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a11/a02/20250508/
2025-05-06 14:52:31,008 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02a11/a02/20250508/
2025-05-06 14:52:31,008 - ERROR - 已達最大重試次數，跳過 URL: https://www.atmovies.com.tw/showtime/t02a11/a02/20250508/
2025-05-06 14:52:31,008 - ERROR - 無法獲取場次資訊: MUVIE CINEMAS台北松仁威秀 - 後天
2025-05-06 14:52:32,013 - INFO - 完成電影院 MUVIE CINEMAS台北松仁威秀 的資料收集
2025-05-06 14:52:32,013 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a05/a02/
2025-05-06 14:52:32,174 - INFO - 確認電影院名稱: 總督影城
2025-05-06 14:52:32,175 - INFO - 在 總督影城 - 今天 找到 8 個場次
2025-05-06 14:52:33,180 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a05/a02/20250507/
2025-05-06 14:52:33,369 - INFO - 確認電影院名稱: 總督影城
2025-05-06 14:52:33,370 - INFO - 在 總督影城 - 明天 找到 0 個場次
2025-05-06 14:52:34,373 - INFO - 由於 總督影城 在 明天 沒有場次資料，跳過 後天 的資料收集
2025-05-06 14:52:34,373 - INFO - 完成電影院 總督影城 的資料收集
2025-05-06 14:52:34,373 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02a06/a02/
