id,full_title,atmovies_id
1062,秘密會議 Conclave,een20215234
892,秘密會議 Conclave,feen20215234
1095,窒息倒數 Last Breath,len14403504
931,窒息倒數 Last Breath,flen14403504
864,第一夫人的逆襲 Bernadette,fbfr19858184
1032,第一夫人的逆襲 Bernadette,bfr19858184
859,絕命終結站 血脈 Final Destination: Bloodlines,ffen79619824
1027,絕命終結站 血脈 Final Destination: Bloodlines,fen79619824
922,綁架影帝黃晸珉 Hostage: Missing Celebrity,fhkr14941222
881,罪人 Sinners,fsen31193180
1049,罪人 Sinners,sen31193180
933,美國隊長：無畏新世界 Captain America: Brave New World,fcen14513804
1097,美國隊長：無畏新世界 Captain America: Brave New World,cen14513804
1028,老派 Analog,ajp28513331
860,老派 Analog,fajp28513331
1038,聖夜：惡魔都市 Holy Night: Demon Hunters,hko15766876
871,聖夜：惡魔都市 Holy Night: Demon Hunters,fhko15766876
1089,舞池漫波 Bodies of Water,bca32986272
925,舞池漫波 Bodies of Water,fbca32986272
874,花束般的戀愛 We Made a Beautiful Bouquet,fwjp11219254
1042,花束般的戀愛 We Made a Beautiful Bouquet,wjp11219254
929,茶道小精靈：千 Sen,fsjp28498459
1093,茶道小精靈：千 Sen,sjp28498459
1048,萬王之王 The King of Kings,ken47967302
880,萬王之王 The King of Kings,fken47967302
944,薩滿 The Medium,fmth13446168
1086,薩滿 The Medium,mth13446168
1068,藍色太陽宮 Blue Sun Palace,bcn32119297
903,藍色太陽宮 Blue Sun Palace,fbcn32119297
1031,蝸牛少女回憶錄 Memoir of a Snail,men23770030
863,蝸牛少女回憶錄 Memoir of a Snail,fmen23770030
1094,行者(2012) Walker(2012),wtw24083134
946,行者(2012) Walker(2012),fwtw24083134
889,誰在看著我們 Who are Watching over us,fwtw68858879
1057,誰在看著我們 Who are Watching over us,wtw68858879
919,贖命救援 Ransomed,frkr27795356
1079,超人力霸王雅克 Ultraman Arc the Movie,ujp34737926
914,超人力霸王雅克 Ultraman Arc the Movie,fujp34737926
1056,超時空武士 A Samurai in Time,ajp32277931
886,超時空武士 A Samurai in Time,fajp32277931
896,跳進部落的孩子 Dancing Home,fdtw75654438
