full_title,chinese_title,english_title,has_eng,has_chn,has_overlap,has_year,has_special,has_duplicate,issue_type
絕命終結站 血脈 Final Destination: Bloodlines,絕命終結站,血脈 Final Destination: Bloodlines,True,True,True,False,True,False,OK
老派 Analog,老派,Analog,True,True,True,False,False,False,OK
怒女 Wannabe,怒女,Wannabe,True,True,True,False,False,False,OK
此刻的我們 We Live in Time,此刻的我們 We Live in,We Live in Time,True,True,False,False,False,False,Potential Issue
蝸牛少女回憶錄 Memoir of a Snail,蝸牛少女回憶錄 Memoir of a,Memoir of a Snail,True,True,False,False,False,False,Potential Issue
第一夫人的逆襲 Bernadette,第一夫人的逆襲,Bernadette,True,True,True,False,False,False,OK
不可能的任務：最終清算 Mission: Impossible - The Final Reckoning,不可能的任務：最終清算,Mission: Impossible - The Final Reckoning,True,True,True,False,True,False,OK
對街的小星星 Solitude,對街的小星星,Solitude,True,True,True,False,False,False,OK
殭屍合唱團：夢想未完 Hung Up on a Dream,殭屍合唱團：夢想未完,Hung Up on a Dream,True,True,True,False,True,False,OK
雷霆特攻隊* Thunderbolts,雷霆特攻隊*,Thunderbolts,True,True,True,False,True,False,OK
獵金·遊戲 A Gilded Game,獵金·遊戲 A Gilded,A Gilded Game,True,True,False,False,True,False,Potential Issue
聖夜：惡魔都市 Holy Night: Demon Hunters,聖夜：惡魔都市,Holy Night: Demon Hunters,True,True,True,False,True,False,OK
會計師2 The Accountant 2,會計師2 The Accountant,The Accountant 2,True,True,False,False,False,False,Potential Issue
MINECRAFT麥塊電影 A Minecraft Movie,MINECRAFT麥塊電影 A Minecraft,A Minecraft Movie,True,True,False,False,False,False,Potential Issue
夏日最後的祕密 Summer Blue Hour,夏日最後的祕密 Summer Blue,Summer Blue Hour,True,True,False,False,False,False,Potential Issue
花束般的戀愛 We Made a Beautiful Bouquet,花束般的戀愛 We Made a Beautiful,We Made a Beautiful Bouquet,True,True,False,False,False,False,Potential Issue
禁夜屍 Rosario,禁夜屍,Rosario,True,True,True,False,False,False,OK
有病才會喜歡你 Lovesick,有病才會喜歡你,Lovesick,True,True,True,False,False,False,OK
冥婚鬧泰大 The Red Envelope,冥婚鬧泰大 The Red,The Red Envelope,True,True,False,False,False,False,Potential Issue
囍宴 The Wedding Banquet,囍宴 The Wedding,The Wedding Banquet,True,True,False,False,False,False,Potential Issue
