display_title,original_title,release_date,runtime,poster_url,tmdb_id,success,failure_reason
此刻的我們 We Live in Time,We Live in Time,2025-05-16,107,https://image.tmdb.org/t/p/original/NPzkNnKNrmQ9dIV0W1pFRJxZIL.jpg,1100099,Yes,
殭屍合唱團：夢想未完 Hung Up on a Dream,Hung Up on a Dream,2025-05-16,109,https://image.tmdb.org/t/p/original/2NaT5CtZvwFdz0egqM8L0AxI0Dw.jpg,1007919,Yes,
獵金·遊戲 A Gilded Game,A Gilded Game,2025-05-09,129,https://image.tmdb.org/t/p/original/pkBo9c6wzfdZTQjTrkHzauSVbcG.jpg,1200063,Yes,
MINECRAFT麥塊電影 A Minecraft Movie,A Minecraft Movie,2025-04-02,100,https://image.tmdb.org/t/p/original/rONvP6UsL1jaZyjrIquumYTZKvB.jpg,950387,Yes,
有病才會喜歡你 Lovesick,Lovesick,2025-04-02,110,https://image.tmdb.org/t/p/original/dSAagxNVZmvA7eohvky20CFv5iC.jpg,1321139,Yes,
禁夜屍 Rosario,Rosario,2025-05-09,88,https://image.tmdb.org/t/p/original/k43Ckees8yXAPc6IfLsfjT6Ql7N.jpg,1297028,Yes,
怒女 Wannabe,Wannabe,2025-05-16,102,,,No,TMDB電影 Wannabe 沒有ID或海報路徑
萬王之王 The King of Kings,The King of Kings,2025-04-18,101,https://image.tmdb.org/t/p/original/n66WEgkJGndAgaM6igMn43U6qHz.jpg,1181107,Yes,
囍宴 The Wedding Banquet,The Wedding Banquet,2025-05-09,103,https://image.tmdb.org/t/p/original/lnwwaMDR7L42DWZXCzkEiQMKqxs.jpg,1278827,Yes,
老派 Analog,Analog,2025-05-16,119,,,No,TMDB電影 Analog 沒有ID或海報路徑
會計師2 The Accountant 2,The Accountant 2,2025-04-24,132,https://image.tmdb.org/t/p/original/qY8gDFoRncaKh0B7e9wjT5wdrAv.jpg,870028,Yes,
青春來接招 Greatest Days,Greatest Days,2025-02-21,103,https://image.tmdb.org/t/p/original/tBNcZ6wSVG90en3eq7uN9UXM8wq.jpg,974861,Yes,
感應 Presence,Presence,2025-02-14,84,https://image.tmdb.org/t/p/original/qeL5F83lwAeRpUdpPWeCNhJbFYZ.jpg,1140535,Yes,
絕對味覺情人,,,,https://image.tmdb.org/t/p/original/cllWEwtQJCTyram80LxWm6hciYJ.jpg,978202,Yes,
